                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 2.2259,                 2.8195,                 1.3057,                0.02779,                0.58062,                0.03487,                0.01323,                 2.6685,                 2.5338,                 1.4925,               0.000218,               0.000218,               0.000218
                     92,                 2.3505,                 2.7204,                 1.3233,                0.02822,                 0.5897,                0.03222,                0.01229,                 2.4803,                 2.5202,                 1.4154,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.3539,                 2.7218,                 1.3488,                0.02812,                0.58743,                0.03409,                0.01295,                 2.3911,                 2.5156,                 1.3814,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.3402,                 2.7031,                 1.3134,                0.02764,                0.57759,                0.03419,                0.01344,                 2.3149,                  2.508,                 1.3497,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.2309,                 2.7676,                 1.2966,                0.02743,                0.57305,                0.03277,                0.01297,                 2.3041,                 2.5062,                 1.3394,              0.0001388,              0.0001388,              0.0001388
                     96,                  2.259,                 2.6934,                 1.3101,                0.02717,                0.56775,                0.02931,                0.01206,                 2.3116,                 2.5044,                 1.3383,               0.000119,               0.000119,               0.000119
                     97,                 2.2099,                 2.6871,                 1.3152,                0.02681,                0.56018,                0.02853,                0.01168,                 2.3251,                 2.5059,                 1.3407,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.2879,                 2.7135,                 1.3235,                0.02645,                0.55261,                0.02759,                0.01142,                  2.345,                 2.5103,                 1.3438,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.2174,                 2.6965,                 1.3147,                0.02583,                0.53974,                0.02653,                  0.011,                 2.3416,                 2.5143,                 1.3393,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.2593,                 2.6967,                 1.3259,                0.02547,                0.53217,                0.02606,                0.01086,                 2.3319,                 2.5186,                 1.3338,               3.98e-05,               3.98e-05,               3.98e-05
